id,country,election_year,date,headline,article_summary,sentiment,source_type,source_reference,language,text
1,India,2024,2024-04-19,Election voting begins across first phase,India began voting in the first phase of its 2024 general election.,Neutral,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Election voting begins across first phase. India began voting in the first phase of its 2024 general election.
2,India,2024,2024-04-20,Large turnout reported after first voting phase,Reports described substantial voter participation during the opening phase.,Positive,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Large turnout reported after first voting phase. Reports described substantial voter participation during the opening phase.
3,India,2024,2024-05-07,Third phase of Indian election held,Voters in additional constituencies participated in the national election.,Neutral,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Third phase of Indian election held. Voters in additional constituencies participated in the national election.
4,India,2024,2024-05-20,Fifth phase voting takes place,The fifth phase of polling was conducted across several Indian states.,Neutral,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Fifth phase voting takes place. The fifth phase of polling was conducted across several Indian states.
5,India,2024,2024-06-04,India election results announced,The BJP-led alliance secured a majority while the BJP itself fell short of a single-party majority.,Neutral,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,India election results announced. The BJP-led alliance secured a majority while the BJP itself fell short of a single-party majority.
6,India,2024,2024-06-05,Opposition makes significant gains in parliament,Opposition parties increased their representation compared with expectations before the result.,Positive,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Opposition makes significant gains in parliament. Opposition parties increased their representation compared with expectations before the result.
7,India,2024,2024-06-09,Narendra Modi sworn in for third term,Narendra Modi took the oath as prime minister for another term after the coalition victory.,Neutral,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Narendra Modi sworn in for third term. Narendra Modi took the oath as prime minister for another term after the coalition victory.
8,India,2024,2024-04-26,Campaign rhetoric intensifies during second phase,Political campaigning became more confrontational as the election continued.,Negative,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Campaign rhetoric intensifies during second phase. Political campaigning became more confrontational as the election continued.
9,India,2024,2024-05-13,Voters turn out for fourth phase,Another group of constituencies went to the polls in the national election.,Neutral,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Voters turn out for fourth phase. Another group of constituencies went to the polls in the national election.
10,India,2024,2024-06-01,Final phase of Indian voting completed,Polling concluded after seven phases of the national election.,Positive,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Final phase of Indian voting completed. Polling concluded after seven phases of the national election.
11,United States,2024,2024-01-15,Iowa caucuses begin Republican nomination contest,Republican voters in Iowa opened the presidential nomination calendar.,Neutral,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Iowa caucuses begin Republican nomination contest. Republican voters in Iowa opened the presidential nomination calendar.
12,United States,2024,2024-03-05,Super Tuesday produces major primary results,Multiple states held presidential primaries that shaped the nomination races.,Neutral,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Super Tuesday produces major primary results. Multiple states held presidential primaries that shaped the nomination races.
13,United States,2024,2024-06-27,Trump and Biden debate before election,The presidential candidates met for a nationally watched debate.,Neutral,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Trump and Biden debate before election. The presidential candidates met for a nationally watched debate.
14,United States,2024,2024-07-21,Biden ends presidential campaign,Joe Biden announced that he would not seek reelection and endorsed Kamala Harris.,Positive,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Biden ends presidential campaign. Joe Biden announced that he would not seek reelection and endorsed Kamala Harris.
15,United States,2024,2024-08-22,Democrats nominate Kamala Harris,The Democratic National Convention formally nominated Harris for president.,Positive,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Democrats nominate Kamala Harris. The Democratic National Convention formally nominated Harris for president.
16,United States,2024,2024-09-10,Harris and Trump hold presidential debate,The two major-party candidates debated their competing policy positions.,Neutral,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Harris and Trump hold presidential debate. The two major-party candidates debated their competing policy positions.
17,United States,2024,2024-11-05,US presidential election voting takes place,Americans voted to choose the next president and members of Congress.,Neutral,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,US presidential election voting takes place. Americans voted to choose the next president and members of Congress.
18,United States,2024,2024-11-06,Donald Trump wins presidential election,Trump was declared the winner after securing enough electoral votes.,Positive,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Donald Trump wins presidential election. Trump was declared the winner after securing enough electoral votes.
19,United States,2024,2024-11-06,Trump victory prompts reactions worldwide,Governments and political leaders around the world responded to the US election result.,Neutral,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Trump victory prompts reactions worldwide. Governments and political leaders around the world responded to the US election result.
20,United States,2024,2024-11-07,Harris concedes presidential race,Kamala Harris acknowledged Trump's victory and called for a peaceful transfer of power.,Positive,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Harris concedes presidential race. Kamala Harris acknowledged Trump's victory and called for a peaceful transfer of power.
21,United Kingdom,2024,2024-07-04,UK general election held,Voters across the United Kingdom cast ballots in the general election.,Neutral,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,UK general election held. Voters across the United Kingdom cast ballots in the general election.
22,United Kingdom,2024,2024-07-05,Labour wins UK general election,Labour won a large parliamentary majority and Keir Starmer became prime minister.,Positive,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Labour wins UK general election. Labour won a large parliamentary majority and Keir Starmer became prime minister.
23,United Kingdom,2024,2024-07-05,Conservatives suffer heavy election losses,The Conservative Party lost many parliamentary seats in the election.,Negative,Real-world election event; paraphrased for dataset use,Verify against reputable coverage / election authority before publication,English,Conservatives suffer heavy election losses. The Conservative Party lost many parliamentary seats in the election.
